"Klarna Invoice","Klarna Faktura"
"Klarna Account","Klarna Konto"
"Klarna Campaign","Klarna Kampagne"
"Enabled","Aktiveret"
"Merchant ID","Butiks-ID"
"The merchant id that you have received from Klarna","Det butiks-ID du har fået af Klarna"
"Shared secret","Delt hemmelighed"
"The shared secret that you have received from Klarna","Den delte hemmelighed du har fået af Klarna"
"Title","Titel"
"Server","Server"
"Choose what server to make calls to","Vælg hvilken server du ønsker at ringe til"
"New order status","Ny ordrestatus"
"Invoice fee","Fakturagebyr"
"In website currency","Hjemmesidens valuta"
"Invoice fee label","Navn på fakturagebyr"
"Minimum order amount","Mindste ordrebeløb"
"Cancel pending reservations","Avbryt reservationer i pending"
"Automatically cancel orders when the reservation becomes pending","Annuller ordrer automatisk, når reservationen begynder at versere"
"Send invoice via e-mail","Send fakturaen via e-mail"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Hvis ja, vil Klarna sende fakturaen ud via e-mail, når reservationen bliver aktiveret"
"Allow separate addresses","Tillad forskellige adresser"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Tillad en anden leveringsadresse end fakturaadressen. Dette skal godkendes af Klarna"
"Language","Sprog"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Tilladte lande"
"Specific countries","Specifikke lande"
"Sort order","Sorteringsordre"
"URL to special logotype","URL til kampagnelogo"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose a logotype from Klarna","Specialkampagner har forskellige logoer, alt afhængigt af kampagnen. Man kan anvende dette felt for at vælge logo via et link fra Klarna."
"Klarna invoice fee","Gebyr ved Klarna Faktura"
"Display Klarna invoice fee","Vis gebyr ved Klarna Faktura"
"Tax class for Klarna invoice fee","Skatteklasse for Klarnas fakturagebyr"
"Klarna invoice fee prices","Prisen på Klarnas fakturagebyr"
"Whether Klarna invoice fee set in admin includes tax","Hvis Klarnas fakturagebyr, som står i indstillingen, er inklusive moms."
"Update Pclasses","Opdater Pclasser"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Opdater de seneste pclasser. Dette vil opdatere både Klarna Konto og specialkampagner."

"Please enter your personal ID and try again","Udfyld venligst dit personnummer og forsøg igen"
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","Du skal skabe kreditnotaen ud fra den originale faktura, ikke direkte ud fra ordren, så Klarna kan opdatere beløbet."
"Unable to pay with Klarna, please choose another payment method","Kan ikke vælge Klarna. Vælg venligst en anden betalingsmåde."
"Fetching PClasses failed for store %s. (%s)","Downloadning af pclasser til butik %s mislykkedes. (%s)"
"Unknown","Ukendt"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Ukendt adresse, udfyld dit personnummer igen og tryk på "Hent", eller vælg en anden betalingsmåde."
"You must choose a payment plan","Du bedes vælge en anden betalingsmåde"
"Unexpected error, pclass does not exist, please reload page and try again","Uforudset fejl, pclass eksisterer ikke. Genindlæs siden og prøv igen."
"Phonenumber must be properly entered","Telefonnummeret skal udfyldes korrekt."
"Date of birth fields must be properly entered","Fødselsdag skal udfyldes korrekt."
"Personal ID must not be empty","Personnummer skal udfyldes."
"You need to agree to the terms to be able to continue","Du skal godkende vilkårene, før du kan fortsætte."
"You need to enter your gender to be able to continue","Du skal vælge køn, før du kan fortsætte."
"Klarna was not able to cancel the reservation","Klarna var ikke i stand til at annullere reservationen."
"Please enter a positive number in this field","Beløbet skal være positivt."
"No address found. Verify the personal id and try again","Adresse blev ikke fundet. Kontroller personnummeret og forsøg igen."
"Please note that both shipping and invoice address will be updated to this address when you place your order","Bemærk venligst, at både leverings- og fakturaadresse bliver opdateret til denne adresse, når du lægger ordren."
"Please note that shipping address will be updated to this address when you place your order","Bemærk venligst, at leveringsadressen bliver opdateret til denne adresse, når du lægger ordren."

"Invoice","Faktura"
"Refund","Tilbagebetale"
"month","måned"
"Reservation","Reservation"
"Reservation Pending","Reservationen er ikke klar"
"Reservation Denied","Reservationen nekades"
"Country","Land"
"Description","Beskrivelse"
"Months","Måneder"
"Minimum amount","Minimumsbeløb"
"Address","Adresse"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Datenverarbeitung der für die Abwicklungdes Rechnungskaufes und einer Identitäts-und Bonitätsprüfung erforderlichen Daten durch Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Fødselsdag"
"Gender","Køn"
"Male","Mand"
"Female","Kvinde"
"Monthly cost","Månedlig omkostning"
"Total cost","Total omkostning"
"Start fee","Oprettelsesgebyr"
"Personal ID/Registration number","Personnummer/Firmanummer"
"Fetch ","Hent"
"Identifying...","Indentificerer..."
"Phone number","Telefonnummer"
"Discount (%s)","Rabat (%s)"

"Gift Wrapping for Order","Gift Wrapping for Order"
"Gift Wrapping for Items","Gift Wrapping for Items"
"Printed Card","Printed Card"
"Gift Card","Gavekort"
"Customer Balance","Customer balance"
"Reward Currency","Reward Currency"

"YYMMDD-XXXX","DDMMÅÅXXXX"
"URL to terms and conditions","URL til regler og vilkår"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL til denne butiks egne regler og vilkår (anvendes kun i Tyskland og Østrig)."
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testtilstand er nu aktivt. Der tillades i øjeblikket kun adgang for udvalgte Klarna test kunder."
"Year","År
"Month","Måned"
"Day","Dag"
"07xxxxxxxx",""

"Disable payment widget on product page","Disable payment widget on product page"
"If set to yes, the payment information from Klarna will not appear on the product page","If set to yes, the payment information from Klarna will not appear on the product page"

"Disable method for company purchase","Disable method for company purchase"
"Disable this method when company field is filled in during checkout","Disable this method when company field is filled in during checkout"
"Default Country Only","Default Country Only"
"Multiple Countries Allowed","Multiple Countries Allowed"
