"Klarna Invoice","Klarna Factuur"
"Klarna Account","Klarna Account"
"Klarna Campaign","Klarna Campagne"
"Enabled","Geactiveerd"
"Merchant ID","Webwinkel-ID"
"The merchant id that you have received from Klarna","Webwinkel-ID ontvangen door Klarna"
"Shared secret","Gedeeld geheim"
"The shared secret that you have received from Klarna","Gedeeld geheim ontvnagen door Klarna"
"Title","Titel"
"Server","Server"
"Choose what server to make calls to","Kies de server om calls te comminuceren" 
"New order status","Nieuwe order status"
"Invoice fee","Factuurkosten"
"In website currency","Webshop valuta"
"Invoice fee label","Factuurkosten tekst"
"Minimum order amount","Minimum order bedrag"
"Cancel pending reservations","Annuleer pending orders"
"Automatically cancel orders when the reservation becomes pending","Annuleer een reservatie automatisch wanneer deze de pending status heeft"
"Send invoice via e-mail","Verstuur factuur per E-mail"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Indien op JA Zal Klarna de Factuur automatisch per E-mail versturen bij het activeren van de order."
"Allow separate addresses","Verschillende adressen toestaan"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Ander afleveradres toestaan (Let op alleen toegestaan na OK van Klarna. Neem contact met Klarna op en vraag naar de voorwaarden)."
"Language","Taal"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Landen toegestaan"
"Specific countries","Specifieke landen"
"Sort order","Positie"
"URL to special logotype","URL naar special logo type"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose another logotype for it","Speciale campagnes hebben verschillende logotypes afhankelijk per campagne. Kies hier het gewenste logotype."
"Klarna invoice fee","Klarna factuurkosten"
"Display Klarna invoice fee","Laat Klarna factuurkosten zien"
"Tax class for Klarna invoice fee","BTW Klarna factuurkosten"
"Klarna invoice fee prices","Klarna factuurkosten prijzen"
"Whether Klarna invoice fee set in admin includes tax","Zijn de Klarna factuurkosten INCL BTW ingevoerd in de admin"
"Update Pclasses","Update Pclasses"
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Intalleer de laatste Payment classes (ookwel Pclasses genoemd)."

"Please enter your personal ID and try again","Vult u hier uw persoonsnummer in"
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","U dient een creditnota van de factuur te creeren, niet direct van de order, om Klarna te updaten met het credit bedrag/items."
"Unable to pay with Klarna, please choose another payment method","Helaas is het niet mogelijk om met Klarna te betalen. Kiets u alstublieft een andere betaalmethode."
"Fetching PClasses failed for store %s. (%s)","Het ophalen van de Pclasses is mislukt voor webwinkel: %s. (%s)"
"Unknown","Onbekend"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Onbekend adres,s pecificeer uw juiste BSN nummer in de betaalmethode en druk op verifeer adres opnieuw."
"You must choose a payment plan","U dient een betaalplan te selecteren."
"Unexpected error, pclass does not exist, please reload page and try again","Onverwachte error. Pclass bestaat niet. Laad uw pagina opnieuw en probeer het nogmaals."
"Phonenumber must be properly entered","Telefoon nummer dient juist ingevuld te worden."
"Date of birth fields must be properly entered","Vult u alstublieft uw juiste geboortedatum in."
"Personal ID must not be empty","BSN nummer mag niet leeg zijn."
"You need to agree to the terms to be able to continue","U dient akkoord te gaan met onze algemenevoorwaarden om verder te gaan."
"You need to enter your gender to be able to continue","U dient uw geslacht in te vullen."
"Klarna was not able to cancel the reservation","Het is Klarna niet gelukt de reservering te cancellen."
"Please enter a positive number in this field","Vult u alstublieft een positief nummer in in dit veld."
"No address found. Verify the personal id and try again","Geen adres gevonden. Verifeer uw BSN en probeer het opnieuw."
"Please note that both shipping and invoice address will be updated to this address when you place your order","Let erop, dat zowel verzend en afleveradres geupdated zullen worden naar dit adres wanneer u de bestelling plaatst."
"Please note that shipping address will be updated to this address when you place your order","Let erop, dat verzendadres geupdated zal worden naar dit adres wanneer u de order plaatst."

"Invoice","Factuur"
"Refund","Retour"
"month","maand"
"Reservation","Reservering"
"Reservation Pending","Reservering Pending"
"Reservation Denied","Reservering Geweigerd"
"Country","Land"
"Description","Beschrijving"
"Months","Maanden"
"Minimum amount","Minimum bedrag"
"Address","Adres"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Datenverarbeitung der für die Abwicklungdes Rechnungskaufes und einer Identitäts-und Bonitätsprüfung erforderlichen Daten durch Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Geboorte datum"
"Gender","Geslacht"
"Male","Man"
"Female","Vrouw"
"Monthly cost","Maandelijkse kosten"
"Total cost","Totale kosten"
"Start fee","Start kosten"
"Personal ID/Registration number","BSN nummer"
"Fetch ","Halen"
"Identifying...","Identificeren..."
"Phone number","Telefoonnummer"
"Discount (%s)","Korting (%s)"

"Gift Wrapping for Order","Cadeau inpakken voor order"
"Gift Wrapping for Items","Cadeau inpakken voor Artikelen"
"Printed Card","Gedrukte kaart"
"Gift Card","Gift Card"
"Customer Balance","Klant saldo"
"Reward Currency","Reward Currency"

"YYMMDD-XXXX","YYMMDD-XXXX"
"URL to terms and conditions","URL naar de Algemene voorwaarden"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL naar de (AGB) algemene voorwaarden van uw webshop (alleen voor Duitsland en Oostenrijk)"
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Test Mode is actief, hierbij worden alleen Klarna specifieke test klanten toegestaan."
"Year","Jaar"
"Month","Maand"
"Day","Dag"
"07xxxxxxxx",""

"Disable payment widget on product page","Disable payment widget on product page"
"If set to yes, the payment information from Klarna will not appear on the product page","If set to yes, the payment information from Klarna will not appear on the product page"
